County,Population
Alachua County,259865.00
Baker County,27537.00
Bay County,180117.00
Bradford County,26775.00
Brevard County,568183.00
Broward County,1890416.00
Calhoun County,14458.00
Charlotte County,173236.00
Citrus County,141373.00
Clay County,203291.00
Collier County,356774.00
Columbia County,68484.00
DeSoto County,35675.00
Dixie County,16323.00
Duval County,912043.00
Escambia County,309924.00
Flagler County,105015.00
Franklin County,11675.00
Gadsden County,46113.00
Gilchrist County,17191.00
Glades County,13197.00
Gulf County,16018.00
Hamilton County,14238.00
Hardee County,27326.00
Hendry County,39064.00
Hernando County,179144.00
Highlands County,100177.00
Hillsborough County,1351087.00
Holmes County,19483.00
Indian River County,147981.00
Jackson County,48571.00
Jefferson County,14085.00
Lafayette County,8684.00
Lake County,326215.00
Lee County,700165.00
Leon County,285890.00
Levy County,39713.00
Liberty County,8347.00
Madison County,18518.00
Manatee County,363542.00
Marion County,343778.00
Martin County,155719.00
Miami-Dade County,2702602.00
Monroe County,76745.00
Nassau County,78435.00
Okaloosa County,197591.00
Okeechobee County,40228.00
Orange County,1290216.00
Osceola County,325168.00
Palm Beach County,1426772.00
Pasco County,498136.00
Pinellas County,949842.00
Polk County,652256.00
Putnam County,72435.00
Santa Rosa County,166778.00
Sarasota County,404839.00
Seminole County,449260.00
St. Johns County,226578.00
St. Lucie County,298763.00
Sumter County,116754.00
Suwannee County,43814.00
Taylor County,22350.00
Union County,15300.00
Volusia County,518660.00
Wakulla County,31586.00
Walton County,63457.00
Washington County,24472.00
